,VaR1,VaR5,0,e1,e5
2013-06-20,0.98131901077441641,0.98732431645049512,0.972579869863,True,True
2013-06-21,0.98030238915935464,0.98662320577000451,1.00400440686,False,False
2013-06-24,0.97935386636656729,0.98581872099662338,0.988893227282,False,False
2013-06-25,0.97924509832872586,0.98586139450211352,1.01103581019,False,False
2013-06-26,0.97932155419935762,0.98575257069922961,1.00915683625,False,False
2013-06-27,0.97859586084502326,0.98559016221976858,1.008677515,False,False
2013-06-28,0.97885112908249883,0.98542830066976494,0.996720167462,False,False
2013-07-01,0.97795079837480259,0.98561411488323458,1.00442278417,False,False
2013-07-02,0.97835112983629358,0.98498010056345975,1.00060517702,False,False
2013-07-03,0.97852337401430389,0.98526667927969236,1.000108585,False,False
2013-07-05,0.97795011668628262,0.98501423676179767,1.00777472929,False,False
2013-07-08,0.97732352637608111,0.98451526528233058,1.00540268703,False,False
2013-07-09,0.97738175706036956,0.98440068723407848,1.00834418664,False,False
2013-07-10,0.97819594097172247,0.98507201101033548,1.00118346226,False,False
2013-07-11,0.97807084879329098,0.98476238179000608,1.01478148329,False,False
2013-07-12,0.97824947042770827,0.98488250342284056,1.00154046834,False,False
2013-07-15,0.97957680756363741,0.98547339195481076,1.00413833211,False,False
2013-07-16,0.97936221983894967,0.98562861843073757,0.996382592017,False,False
2013-07-17,0.9783695968637548,0.98539963310333722,1.00328263271,False,False
2013-07-18,0.97975252542635149,0.98618441299603687,1.00521212224,False,False
2013-07-19,0.98029037441400302,0.98585949987000721,1.00172715639,False,False
2013-07-22,0.98053749817429048,0.98615370482840359,1.00220485656,False,False
2013-07-23,0.98083940295872651,0.98628966954807529,0.999278253194,False,False
2013-07-24,0.9810271953744677,0.98650870686012115,0.992862572343,False,False
2013-07-25,0.98073743247547907,0.98644710171586236,1.00452920021,False,False
2013-07-26,0.98163534770141114,0.98683821745659905,0.999866472542,False,False
2013-07-29,0.98109451265557324,0.98659403317196059,0.997043862783,False,False
2013-07-30,0.98170936443543522,0.98721708034195865,0.999944155077,False,False
2013-07-31,0.98210073146050114,0.98725201818434549,0.997991017747,False,False
2013-08-01,0.98205130854198686,0.98724795443802027,1.01043684514,False,False
2013-08-02,0.98210040906824292,0.98744520833332228,1.00058314599,False,False
2013-08-05,0.9826807532400873,0.98732300668889139,0.999338819702,False,False
2013-08-06,0.98256356407367396,0.98787584194468658,0.993756071791,False,False
2013-08-07,0.98247679052284531,0.98784551538416321,0.996990850171,False,False
2013-08-08,0.98303844154397924,0.98794053133609627,1.00409441074,False,False
2013-08-09,0.98433909368766637,0.9889697306602151,0.998790610153,False,False
2013-08-12,0.98652553588690139,0.99039335152811092,0.998723963055,False,False
2013-08-13,0.98714049905695589,0.99072863314866655,0.999202108888,False,False
2013-08-14,0.98736408332393111,0.99101491954421062,0.995435494027,False,False
2013-08-15,0.98766084015227562,0.99127211106210378,0.985898026648,True,True
2013-08-16,0.98622572121524266,0.99058655496644921,0.99361016569,False,False
2013-08-19,0.98660625680381164,0.99096714230936567,0.992283853611,False,False
2013-08-20,0.98624698681117506,0.99077345167157205,1.00735266667,False,False
2013-08-21,0.98612033491362616,0.99054598210976708,0.993796967853,False,False
2013-08-22,0.98632118303962324,0.99098224430325632,1.00882819963,False,False
2013-08-23,0.9863884487492165,0.99061001389763281,1.0058372063,False,False
2013-08-26,0.98677721164740906,0.99094161262637348,0.996656545403,False,False
2013-08-27,0.98692453615393205,0.99091193181770465,0.985992152876,True,True
2013-08-28,0.98636945336419812,0.99072197736948819,1.00179169025,False,False
2013-08-29,0.98605767679703604,0.99073655165363561,1.00267059997,False,False
